Environment,Model,Iteration,Tokens_Per_Second,Time_To_First_Token_S,Generation_Time_S,Prompt_Tokens,Generation_Tokens
exec,Llama-3.2-1B-Instruct-4bit,31,132.05789704813463,0.06003241700000217,,,
vm,Llama-3.2-1B-Instruct-4bit,31,128.37161444995894,0.07771662499999366,,,
exec,Llama-3.2-1B-Instruct-4bit,32,132.178304919085,0.06053300000000661,,,
vm,Llama-3.2-1B-Instruct-4bit,32,128.48086643087808,0.0752372500000007,,,
exec,Llama-3.2-1B-Instruct-4bit,33,131.92550949786371,0.059662791999997467,,,
vm,Llama-3.2-1B-Instruct-4bit,33,128.56013386777948,0.07576329100000123,,,
exec,Llama-3.2-1B-Instruct-4bit,34,132.0370691038785,0.05966808399999479,,,
vm,Llama-3.2-1B-Instruct-4bit,34,127.4171884920242,0.07601195800000937,,,
exec,Llama-3.2-1B-Instruct-4bit,35,132.21338439731036,0.05988604199998804,,,
vm,Llama-3.2-1B-Instruct-4bit,35,128.31853472263205,0.0784850830000039,,,
exec,Llama-3.2-1B-Instruct-4bit,36,132.01038193998627,0.05953983300000232,,,
vm,Llama-3.2-1B-Instruct-4bit,36,128.86645779142134,0.07195454200000029,,,
exec,Llama-3.2-1B-Instruct-4bit,37,132.02412558124075,0.06007699999999261,,,
vm,Llama-3.2-1B-Instruct-4bit,37,128.15659666004282,0.0775567499999994,,,
exec,Llama-3.2-1B-Instruct-4bit,38,132.10855117106718,0.06001558399999851,,,
vm,Llama-3.2-1B-Instruct-4bit,38,128.24100755745573,0.0793485420000053,,,
exec,Llama-3.2-1B-Instruct-4bit,39,132.0221397064483,0.060311999999996146,,,
vm,Llama-3.2-1B-Instruct-4bit,39,128.70506513776436,0.07452070799999433,,,
exec,Llama-3.2-1B-Instruct-4bit,40,131.9933147221627,0.059524542000005454,,,
vm,Llama-3.2-1B-Instruct-4bit,40,128.22820613560663,0.07834312500000351,,,
exec,Llama-3.2-1B-Instruct-4bit,41,132.10583842748855,0.05948962499999766,,,
vm,Llama-3.2-1B-Instruct-4bit,41,127.76287478741423,0.07579633299999955,,,
exec,Llama-3.2-1B-Instruct-4bit,42,131.89289856444069,0.05987966699998992,,,
vm,Llama-3.2-1B-Instruct-4bit,42,129.2824250958896,0.06629983400000583,,,
exec,Llama-3.2-1B-Instruct-4bit,43,132.00746901559853,0.060980083000004015,,,
vm,Llama-3.2-1B-Instruct-4bit,43,127.87212525336791,0.08177025000000526,,,
exec,Llama-3.2-1B-Instruct-4bit,44,132.05669354385262,0.06000075000000038,,,
vm,Llama-3.2-1B-Instruct-4bit,44,128.18143813386763,0.08199712500000089,,,
exec,Llama-3.2-1B-Instruct-4bit,45,132.120556630594,0.060805500000000734,,,
vm,Llama-3.2-1B-Instruct-4bit,45,128.55557167209454,0.0777604580000002,,,
exec,Llama-3.2-1B-Instruct-4bit,46,131.9736694486177,0.06054891699999132,,,
vm,Llama-3.2-1B-Instruct-4bit,46,128.30274906862815,0.08203525000000411,,,
exec,Llama-3.2-1B-Instruct-4bit,47,132.1851725800714,0.0608490829999937,,,
vm,Llama-3.2-1B-Instruct-4bit,47,128.63920557540035,0.07560379100000603,,,
exec,Llama-3.2-1B-Instruct-4bit,48,132.00019155496545,0.05986316700000316,,,
vm,Llama-3.2-1B-Instruct-4bit,48,128.88635955002334,0.07346908300000621,,,
exec,Llama-3.2-1B-Instruct-4bit,49,132.2070913507174,0.05944695799999522,,,
vm,Llama-3.2-1B-Instruct-4bit,49,127.55908138401239,0.07465591700000118,,,
exec,Llama-3.2-1B-Instruct-4bit,50,132.08963832155897,0.059657624999999825,,,
vm,Llama-3.2-1B-Instruct-4bit,50,128.7717883047895,0.07494425000000149,,,
exec,Llama-3.2-1B-Instruct-4bit,51,131.8748003085191,0.059846833000008814,,,
vm,Llama-3.2-1B-Instruct-4bit,51,128.68999017104116,0.07677362500000129,,,
exec,Llama-3.2-1B-Instruct-4bit,52,131.881591217833,0.06010654199999976,,,
vm,Llama-3.2-1B-Instruct-4bit,52,128.5259469396651,0.07376379199999406,,,
exec,Llama-3.2-1B-Instruct-4bit,53,132.0931455331721,0.06019362499999659,,,
vm,Llama-3.2-1B-Instruct-4bit,53,126.98399577992873,0.0764547910000033,,,
exec,Llama-3.2-1B-Instruct-4bit,54,132.1314020986965,0.060536833000000456,,,
vm,Llama-3.2-1B-Instruct-4bit,54,128.415499069935,0.07599704199999735,,,
exec,Llama-3.2-1B-Instruct-4bit,55,131.59450387329937,0.06049054099999296,,,
vm,Llama-3.2-1B-Instruct-4bit,55,128.48741701645196,0.07776404199999831,,,
exec,Llama-3.2-1B-Instruct-4bit,56,132.09192720960806,0.06016941700001155,,,
vm,Llama-3.2-1B-Instruct-4bit,56,128.17283838092717,0.07528708399999573,,,
exec,Llama-3.2-1B-Instruct-4bit,57,132.14695882001246,0.0598096660000067,,,
vm,Llama-3.2-1B-Instruct-4bit,57,128.6385214207942,0.06711670800000036,,,
exec,Llama-3.2-1B-Instruct-4bit,58,131.95419434671595,0.05985254200000156,,,
vm,Llama-3.2-1B-Instruct-4bit,58,128.38782218577342,0.07458508300000233,,,
exec,Llama-3.2-1B-Instruct-4bit,59,131.93853575693313,0.059538083000006736,,,
vm,Llama-3.2-1B-Instruct-4bit,59,128.31861512134606,0.07992545799999107,,,
exec,Llama-3.2-1B-Instruct-4bit,60,132.14588438789826,0.0596429169999908,,,
vm,Llama-3.2-1B-Instruct-4bit,60,128.58690005826554,0.07625904200000377,,,
exec,Llama-3.2-1B-Instruct-4bit,61,132.17633719701223,0.06018412499997794,,,
vm,Llama-3.2-1B-Instruct-4bit,61,128.3318528248924,0.07832470799999669,,,
exec,Llama-3.2-1B-Instruct-4bit,62,132.0390440546719,0.05991462500000466,,,
vm,Llama-3.2-1B-Instruct-4bit,62,128.67465466088981,0.07566704100000265,,,
exec,Llama-3.2-1B-Instruct-4bit,63,131.98264222031904,0.06015862499998548,,,
vm,Llama-3.2-1B-Instruct-4bit,63,128.39028238527408,0.07707974999999578,,,
exec,Llama-3.2-1B-Instruct-4bit,64,132.016951263267,0.060574083000005885,,,
vm,Llama-3.2-1B-Instruct-4bit,64,127.41626100298949,0.07716974999999593,,,
exec,Llama-3.2-1B-Instruct-4bit,65,132.25475106465797,0.059819542000013826,,,
vm,Llama-3.2-1B-Instruct-4bit,65,128.39585243780607,0.07749458300000356,,,
exec,Llama-3.2-1B-Instruct-4bit,66,132.20582825252143,0.05978529099999719,,,
vm,Llama-3.2-1B-Instruct-4bit,66,128.60372213583307,0.07572879100001728,,,
exec,Llama-3.2-1B-Instruct-4bit,67,132.10714508718914,0.060042124999995394,,,
vm,Llama-3.2-1B-Instruct-4bit,67,128.274092360607,0.07803566699999465,,,
exec,Llama-3.2-1B-Instruct-4bit,68,132.14332358408652,0.060458916999976964,,,
vm,Llama-3.2-1B-Instruct-4bit,68,128.66792323123715,0.07580333399999972,,,
exec,Llama-3.2-1B-Instruct-4bit,69,132.0811535727323,0.05920649999998773,,,
vm,Llama-3.2-1B-Instruct-4bit,69,128.77989102001735,0.0744935410000096,,,
exec,Llama-3.2-1B-Instruct-4bit,70,132.1792205887354,0.060790832999998656,,,
vm,Llama-3.2-1B-Instruct-4bit,70,128.621919134495,0.0752357500000187,,,
exec,Llama-3.2-1B-Instruct-4bit,71,131.97509534887433,0.06007525000001124,,,
vm,Llama-3.2-1B-Instruct-4bit,71,128.1764776683663,0.07458533299998749,,,
exec,Llama-3.2-1B-Instruct-4bit,72,131.99430439420544,0.059972874999999704,,,
vm,Llama-3.2-1B-Instruct-4bit,72,128.74450805411539,0.06694579100002329,,,
exec,Llama-3.2-1B-Instruct-4bit,73,132.23792238938077,0.059732208000014,,,
vm,Llama-3.2-1B-Instruct-4bit,73,128.92383052377332,0.07471641700001896,,,
exec,Llama-3.2-1B-Instruct-4bit,74,132.02206882965487,0.06060495899998841,,,
vm,Llama-3.2-1B-Instruct-4bit,74,128.56983494401933,0.07804949999999167,,,
exec,Llama-3.2-1B-Instruct-4bit,75,132.11404230902636,0.06070900000000279,,,
vm,Llama-3.2-1B-Instruct-4bit,75,128.67272513313316,0.0763909579999904,,,
exec,Llama-3.2-1B-Instruct-4bit,76,132.18861667786047,0.05995662500001231,,,
vm,Llama-3.2-1B-Instruct-4bit,76,128.32322477322475,0.0765911249999931,,,
exec,Llama-3.2-1B-Instruct-4bit,77,132.11123559613424,0.06095541599998455,,,
vm,Llama-3.2-1B-Instruct-4bit,77,128.53843142192213,0.07740316699999994,,,
exec,Llama-3.2-1B-Instruct-4bit,78,132.19130715644218,0.05984333300000344,,,
vm,Llama-3.2-1B-Instruct-4bit,78,128.07499860594586,0.07780258299999332,,,
exec,Llama-3.2-1B-Instruct-4bit,79,131.9462512533582,0.06011770799997862,,,
vm,Llama-3.2-1B-Instruct-4bit,79,127.35035400662427,0.07963462499998286,,,
